Oblasta,IDP,Percent
Donetska,512237,35.04
Luhanska,282493,19.33
Kyiv,163491,11.18
Kharkivska,135556,9.27
Dnipropetrovska,71514,4.89
Kyivska,66045,4.52
Zaporizka,56284,3.85
Odeska,38602,2.64
Poltavska,22643,1.55
Khersonska,14614,1.00
Vinnytska,11311,0.77
Sumska,11247,0.77
Lvivska,11244,0.77
Cherkaska,10784,0.74
Mykolaivska,8316,0.57
Chernihivska,7315,0.50
Zhytomyrska,7057,0.48
Khmelnytska,6580,0.45
Kirovohradska,6558,0.45
Ivano-Frankivska,3833,0.26
Zakarpatska,3368,0.23
Volynska,3105,0.21
Rivnenska,3022,0.21
Chernivetska,2392,0.16
Ternopilska,2169,0.15
,,
